5511 DEBUG [2016-04-14 01:04:36]  Adding transactional method 'UserServiceTest.empyRunnable' with attribute: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; ''
5512 DEBUG [2016-04-14 01:04:36]  Explicit transaction definition [PROPAGATION_REQUIRED,ISOLATION_DEFAULT; ''] found for test context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = com.demonshrimp.dawj.test.service.UserServiceTest@5922d3e9, testMethod = empyRunnable@BaseTestCase, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]
5512 DEBUG [2016-04-14 01:04:36]  Retrieved ApplicationContext from cache with key [[MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]]
5513 DEBUG [2016-04-14 01:04:36]  Spring test ApplicationContext cache statistics: [DefaultContextCache@68d651f2 size = 1, parentContextCount = 0, hitCount = 9, missCount = 1]
5513 DEBUG [2016-04-14 01:04:36]  Returning cached instance of singleton bean 'transactionManager'
5513 DEBUG [2016-04-14 01:04:36]  Retrieved default @Rollback(false) for test class [com.demonshrimp.dawj.test.service.UserServiceTest].
5513 DEBUG [2016-04-14 01:04:36]  No method-level @Rollback override: using default rollback [false] for test context [DefaultTestContext@242b6e1a testClass = UserServiceTest, testInstance = com.demonshrimp.dawj.test.service.UserServiceTest@5922d3e9, testMethod = empyRunnable@BaseTestCase, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@39a87e72 testClass = UserServiceTest, locations = '{classpath:/test-config/application-context.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
5513 DEBUG [2016-04-14 01:04:36]  Creating new transaction with name [com.demonshrimp.dawj.test.service.UserServiceTest.empyRunnable]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; ''
5513 DEBUG [2016-04-14 01:04:36]  Opened new Session [SessionImpl(PersistenceContext[entityKeys=[],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])] for Hibernate transaction
5513 DEBUG [2016-04-14 01:04:36]  Preparing JDBC Connection of Hibernate Session [SessionImpl(PersistenceContext[entityKeys=[],collectionKeys=[]];ActionQueue[insertions=org.hibernate.engine.spi.ExecutableList@7d57dbb5 updates=org.hibernate.engine.spi.ExecutableList@630b6190 deletions=org.hibernate.engine.spi.ExecutableList@532e27ab orphanRemovals=org.hibernate.engine.spi.ExecutableList@1cdc1bbc collectionCreations=org.hibernate.engine.spi.ExecutableList@5f95f1e1 collectionRemovals=org.hibernate.engine.spi.ExecutableList@672a1c62 collectionUpdates=org.hibernate.engine.spi.ExecutableList@459b6c53 collectionQueuedOps=org.hibernate.engine.spi.ExecutableList@39e69ea7 unresolvedInsertDependencies=UnresolvedEntityInsertActions[]])]
5513 DEBUG [2016-04-14 01:04:36]  Obtaining JDBC connection
